[adam_baseline] Adam lr=0.001 + BN + Dropout
epoch 11/20 lr=0.001000 train_loss=0.0586 train_acc=99.35% val_loss=0.0611 val_acc=98.28% params=535818
epoch 12/20 lr=0.001000 train_loss=0.0572 train_acc=99.56% val_loss=0.0594 val_acc=98.28% params=535818
epoch 13/20 lr=0.001000 train_loss=0.0522 train_acc=99.60% val_loss=0.0591 val_acc=98.40% params=535818
epoch 14/20 lr=0.001000 train_loss=0.0474 train_acc=99.71% val_loss=0.0538 val_acc=98.52% params=535818
epoch 15/20 lr=0.001000 train_loss=0.0455 train_acc=99.69% val_loss=0.0575 val_acc=98.43% params=535818
epoch 16/20 lr=0.001000 train_loss=0.0445 train_acc=99.65% val_loss=0.0545 val_acc=98.44% params=535818
epoch 17/20 lr=0.001000 train_loss=0.0426 train_acc=99.67% val_loss=0.0614 val_acc=98.31% params=535818
epoch 18/20 lr=0.001000 train_loss=0.0421 train_acc=99.68% val_loss=0.0594 val_acc=98.38% params=535818
epoch 19/20 lr=0.001000 train_loss=0.0416 train_acc=99.76% val_loss=0.0579 val_acc=98.46% params=535818
epoch 20/20 lr=0.001000 train_loss=0.0375 train_acc=99.78% val_loss=0.0572 val_acc=98.45% params=535818

[no_dropout] Adam lr=0.001 + BN + no Dropout
config: optimizer=Adam, lr=0.001, batchnorm=True, dropout=False, dropout_ratio=0.0, init=he, params=537354
epoch 01/20 lr=0.001000 train_loss=0.1853 train_acc=98.15% val_loss=0.0942 val_acc=96.95% params=537354
epoch 02/20 lr=0.001000 train_loss=0.0676 train_acc=99.12% val_loss=0.0756 val_acc=97.64% params=537354
epoch 03/20 lr=0.001000 train_loss=0.0423 train_acc=99.50% val_loss=0.0715 val_acc=97.77% params=537354
epoch 04/20 lr=0.001000 train_loss=0.0290 train_acc=99.41% val_loss=0.0702 val_acc=97.77% params=537354
epoch 05/20 lr=0.001000 train_loss=0.0219 train_acc=99.69% val_loss=0.0703 val_acc=97.86% params=537354
epoch 06/20 lr=0.001000 train_loss=0.0188 train_acc=99.76% val_loss=0.0636 val_acc=98.09% params=537354
epoch 07/20 lr=0.001000 train_loss=0.0148 train_acc=99.61% val_loss=0.0702 val_acc=97.93% params=537354
epoch 08/20 lr=0.001000 train_loss=0.0133 train_acc=99.77% val_loss=0.0646 val_acc=98.14% params=537354
epoch 09/20 lr=0.001000 train_loss=0.0120 train_acc=99.68% val_loss=0.0743 val_acc=97.97% params=537354
epoch 10/20 lr=0.001000 train_loss=0.0109 train_acc=99.74% val_loss=0.0754 val_acc=97.92% params=537354
epoch 11/20 lr=0.001000 train_loss=0.0105 train_acc=99.80% val_loss=0.0749 val_acc=97.87% params=537354
epoch 12/20 lr=0.001000 train_loss=0.0098 train_acc=99.86% val_loss=0.0674 val_acc=98.18% params=537354
epoch 13/20 lr=0.001000 train_loss=0.0071 train_acc=99.83% val_loss=0.0813 val_acc=98.01% params=537354
epoch 14/20 lr=0.001000 train_loss=0.0112 train_acc=99.89% val_loss=0.0704 val_acc=98.20% params=537354
epoch 15/20 lr=0.001000 train_loss=0.0073 train_acc=99.90% val_loss=0.0677 val_acc=98.30% params=537354
epoch 16/20 lr=0.001000 train_loss=0.0062 train_acc=99.93% val_loss=0.0666 val_acc=98.36% params=537354
epoch 17/20 lr=0.001000 train_loss=0.0089 train_acc=99.86% val_loss=0.0737 val_acc=98.20% params=537354
epoch 18/20 lr=0.001000 train_loss=0.0055 train_acc=99.92% val_loss=0.0754 val_acc=98.21% params=537354
epoch 19/20 lr=0.001000 train_loss=0.0058 train_acc=99.91% val_loss=0.0788 val_acc=98.13% params=537354
epoch 20/20 lr=0.001000 train_loss=0.0056 train_acc=99.88% val_loss=0.0773 val_acc=98.17% params=537354

[adam_lr_0_01] Adam lr=0.01 + BN + Dropout
config: optimizer=Adam, lr=0.01, batchnorm=True, dropout=True, dropout_ratio=0.5, init=he, params=537354
epoch 01/20 lr=0.010000 train_loss=0.2832 train_acc=96.63% val_loss=0.1140 val_acc=96.33% params=537354
epoch 02/20 lr=0.010000 train_loss=0.1673 train_acc=97.88% val_loss=0.0880 val_acc=97.27% params=537354
epoch 03/20 lr=0.010000 train_loss=0.1359 train_acc=98.18% val_loss=0.0825 val_acc=97.59% params=537354
epoch 04/20 lr=0.010000 train_loss=0.1210 train_acc=98.56% val_loss=0.0713 val_acc=97.78% params=537354
epoch 05/20 lr=0.010000 train_loss=0.1086 train_acc=98.84% val_loss=0.0660 val_acc=97.94% params=537354
epoch 06/20 lr=0.010000 train_loss=0.0989 train_acc=99.04% val_loss=0.0639 val_acc=97.90% params=537354
epoch 07/20 lr=0.010000 train_loss=0.0967 train_acc=99.10% val_loss=0.0664 val_acc=97.98% params=537354
epoch 08/20 lr=0.010000 train_loss=0.0920 train_acc=99.25% val_loss=0.0614 val_acc=98.16% params=537354
epoch 09/20 lr=0.010000 train_loss=0.0856 train_acc=99.26% val_loss=0.0602 val_acc=98.20% params=537354
epoch 10/20 lr=0.010000 train_loss=0.0796 train_acc=99.27% val_loss=0.0597 val_acc=98.18% params=537354
epoch 11/20 lr=0.010000 train_loss=0.0769 train_acc=99.43% val_loss=0.0604 val_acc=98.13% params=537354
epoch 12/20 lr=0.010000 train_loss=0.0760 train_acc=99.52% val_loss=0.0598 val_acc=98.18% params=537354
epoch 13/20 lr=0.010000 train_loss=0.0728 train_acc=99.50% val_loss=0.0571 val_acc=98.16% params=537354
epoch 14/20 lr=0.010000 train_loss=0.0683 train_acc=99.56% val_loss=0.0609 val_acc=98.15% params=537354
epoch 15/20 lr=0.010000 train_loss=0.0693 train_acc=99.63% val_loss=0.0557 val_acc=98.35% params=537354
epoch 16/20 lr=0.010000 train_loss=0.0637 train_acc=99.64% val_loss=0.0594 val_acc=98.30% params=537354
epoch 17/20 lr=0.010000 train_loss=0.0641 train_acc=99.60% val_loss=0.0545 val_acc=98.35% params=537354
epoch 18/20 lr=0.010000 train_loss=0.0612 train_acc=99.75% val_loss=0.0555 val_acc=98.38% params=537354
epoch 19/20 lr=0.010000 train_loss=0.0604 train_acc=99.70% val_loss=0.0583 val_acc=98.38% params=537354
epoch 20/20 lr=0.010000 train_loss=0.0597 train_acc=99.71% val_loss=0.0578 val_acc=98.31% params=537354

[adam_lr_decay] Adam lr decay 0.01*0.6^epoch + BN + Dropout
config: optimizer=Adam, lr=0.01, batchnorm=True, dropout=True, dropout_ratio=0.5, init=he, params=537354
epoch 01/20 lr=0.010000 train_loss=0.2800 train_acc=97.00% val_loss=0.1123 val_acc=96.35% params=537354
epoch 02/20 lr=0.006000 train_loss=0.1452 train_acc=98.08% val_loss=0.0796 val_acc=97.51% params=537354
epoch 03/20 lr=0.003600 train_loss=0.1105 train_acc=98.77% val_loss=0.0648 val_acc=98.03% params=537354
epoch 04/20 lr=0.002160 train_loss=0.0873 train_acc=99.08% val_loss=0.0609 val_acc=98.01% params=537354
epoch 05/20 lr=0.001296 train_loss=0.0747 train_acc=99.31% val_loss=0.0560 val_acc=98.21% params=537354
epoch 06/20 lr=0.000778 train_loss=0.0658 train_acc=99.39% val_loss=0.0540 val_acc=98.28% params=537354
epoch 07/20 lr=0.000467 train_loss=0.0622 train_acc=99.41% val_loss=0.0525 val_acc=98.25% params=537354
epoch 08/20 lr=0.000280 train_loss=0.0574 train_acc=99.47% val_loss=0.0518 val_acc=98.34% params=537354
epoch 09/20 lr=0.000168 train_loss=0.0539 train_acc=99.50% val_loss=0.0521 val_acc=98.38% params=537354
epoch 10/20 lr=0.000101 train_loss=0.0528 train_acc=99.51% val_loss=0.0516 val_acc=98.36% params=537354
epoch 11/20 lr=0.000060 train_loss=0.0533 train_acc=99.48% val_loss=0.0517 val_acc=98.40% params=537354
epoch 12/20 lr=0.000036 train_loss=0.0533 train_acc=99.56% val_loss=0.0510 val_acc=98.41% params=537354
epoch 13/20 lr=0.000022 train_loss=0.0524 train_acc=99.53% val_loss=0.0512 val_acc=98.41% params=537354
epoch 14/20 lr=0.000013 train_loss=0.0527 train_acc=99.56% val_loss=0.0514 val_acc=98.38% params=537354
epoch 15/20 lr=0.000008 train_loss=0.0529 train_acc=99.53% val_loss=0.0511 val_acc=98.39% params=537354
epoch 16/20 lr=0.000005 train_loss=0.0520 train_acc=99.55% val_loss=0.0521 val_acc=98.37% params=537354
epoch 17/20 lr=0.000003 train_loss=0.0533 train_acc=99.54% val_loss=0.0519 val_acc=98.38% params=537354
epoch 18/20 lr=0.000002 train_loss=0.0536 train_acc=99.52% val_loss=0.0512 val_acc=98.40% params=537354
epoch 19/20 lr=0.000001 train_loss=0.0556 train_acc=99.58% val_loss=0.0511 val_acc=98.41% params=537354
epoch 20/20 lr=0.000001 train_loss=0.0528 train_acc=99.54% val_loss=0.0515 val_acc=98.37% params=537354
