strategy,label,optimizer,epoch,lr,train_loss,train_acc,val_loss,val_acc,params,use_batchnorm,use_dropout,dropout_ratio,init_method
sgd_lr_0_01,SGD lr=0.01 + BN + Dropout,SGD,16,0.01,0.315688637015806,94.17999999999999,0.19597437519848776,94.08999999999999,537354,True,True,0.5,he
sgd_lr_0_01,SGD lr=0.01 + BN + Dropout,SGD,17,0.01,0.3092944376317264,94.12,0.19336753717430974,94.24,537354,True,True,0.5,he
sgd_lr_0_01,SGD lr=0.01 + BN + Dropout,SGD,18,0.01,0.30617099141603193,94.51,0.18590913132961231,94.53,537354,True,True,0.5,he
sgd_lr_0_01,SGD lr=0.01 + BN + Dropout,SGD,19,0.01,0.29389408336199385,94.65,0.18292583672524257,94.39999999999999,537354,True,True,0.5,he
sgd_lr_0_01,SGD lr=0.01 + BN + Dropout,SGD,20,0.01,0.29125411345478486,94.62,0.18124447292533413,94.42,537354,True,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,1,0.001,0.44181716122116266,95.11,0.15872209116982605,95.15,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,2,0.001,0.18669152005029535,96.89999999999999,0.11203270009875166,96.65,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,3,0.001,0.14226279744213408,97.72999999999999,0.09240573389239125,97.22,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,4,0.001,0.11645795235976449,98.1,0.0794780094246643,97.45,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,5,0.001,0.09942313555087019,98.54,0.07622189715687218,97.64,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,6,0.001,0.0892268578266545,98.9,0.06380259618613326,98.07000000000001,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,7,0.001,0.0807236300706902,99.1,0.06523819584027644,98.02,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,8,0.001,0.0739381622155234,99.2,0.06590414219871213,97.96000000000001,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,9,0.001,0.06791753610797625,99.26,0.06291508195340414,98.22999999999999,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,10,0.001,0.06573379832640895,99.28,0.06038907757724578,98.22,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,11,0.001,0.0585530150152431,99.35000000000001,0.06107052518745527,98.28,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,12,0.001,0.05721505503222949,99.56,0.05940019430585146,98.28,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,13,0.001,0.05217731308975739,99.6,0.05910985648065978,98.4,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,14,0.001,0.04740360127189097,99.71,0.053814568259839726,98.52,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,15,0.001,0.04545721438155608,99.69,0.05749036953716534,98.42999999999999,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,16,0.001,0.04454411191794736,99.65,0.05450316885857607,98.44000000000001,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,17,0.001,0.04263130295847684,99.67,0.06142906460046787,98.31,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,18,0.001,0.04209052795814007,99.68,0.059445882638316086,98.38,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,19,0.001,0.04155990796183254,99.76,0.05787849662522345,98.46000000000001,535818,False,True,0.5,he
no_batchnorm,Adam lr=0.001 + no BN + Dropout,Adam,20,0.001,0.03748967719105808,99.78,0.05718154705392942,98.45,535818,False,True,0.5,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,1,0.001,0.18532057624566867,98.15,0.09421956339357208,96.95,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,2,0.001,0.06760796295056717,99.11999999999999,0.07560235193956195,97.64,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,3,0.001,0.04228463764161593,99.5,0.07151822438183758,97.77,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,4,0.001,0.02901919031282246,99.41,0.07017516617844187,97.77,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,5,0.001,0.021856825361513597,99.69,0.07032776517638958,97.86,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,6,0.001,0.018798457978244188,99.76,0.06357868057766278,98.09,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,7,0.001,0.014807254547813162,99.61,0.07023511167979735,97.92999999999999,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,8,0.001,0.01327616808811175,99.77000000000001,0.06461046176315749,98.14,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,9,0.001,0.011951560698066927,99.68,0.07428841349007208,97.97,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,10,0.001,0.010935757578709961,99.74,0.07543482561108501,97.92,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,11,0.001,0.010542809248548599,99.8,0.0748823269838726,97.87,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,12,0.001,0.009807528248749987,99.86,0.06738374019688448,98.18,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,13,0.001,0.0071404255743936626,99.83,0.08132774673371024,98.00999999999999,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,14,0.001,0.011164832149676535,99.89,0.07041597681293973,98.2,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,15,0.001,0.007273321763340489,99.9,0.0677406202360544,98.3,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,16,0.001,0.0061718471560830036,99.92999999999999,0.06655463183545467,98.36,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,17,0.001,0.008895334837548667,99.86,0.0736937299374977,98.2,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,18,0.001,0.00552810238215855,99.92,0.07539078918007938,98.21,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,19,0.001,0.005814189878393193,99.91,0.07877333174405726,98.13,537354,True,False,0.0,he
no_dropout,Adam lr=0.001 + BN + no Dropout,Adam,20,0.001,0.005556307400091389,99.88,0.07725112290392154,98.17,537354,True,False,0.0,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,1,0.01,0.28315190829596976,96.63000000000001,0.11400296484903219,96.33,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,2,0.01,0.1673434819789177,97.88,0.08798823687668897,97.27,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,3,0.01,0.13591030401853238,98.18,0.08245716482175441,97.59,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,4,0.01,0.12099410455565597,98.56,0.07134047882912033,97.78,537354,True,True,0.5,he
adam_lr_0_01,Adam lr=0.01 + BN + Dropout,Adam,5,0.01,0.10858540176517607,98.83999999999999,0.0659912483152741,97.94,537354,True,True,0.5,he
